lat,long
 'coordinate,oordinates']
 -0.2189757,-78.50834335
 -0.19168,-78.4906921
 3.816667,-73.916667
 3.816667,-73.916667
 4.28992944,-73.51971082
 5.385,-73.36361111
 -3.74978207,-73.24323493
 -13.25805556,-72.26333333
 -13.4167,-72.2167
 -13.525,-71.9722
 -13.525,-71.9722
 -33.1,-71.6833
 -16.38978472,-71.54985822
 -17.6394,-71.3375
 -23.6767647,-70.4122154
 -23.6638588,-70.4009419
 -23.63552166,-70.3948697
 -18.483333,-70.333333
 -18.483333,-70.333333
 -18.483333,-70.333333
 -18.483333,-70.333333
 -18.47847,-70.32181
 -18.48607,-70.31861
 -18.48607,-70.31861
 -18.4732,-70.3036
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -18.5297,-70.2595
 -20.24230981,-70.14270287
 -20.2357597,-70.1359024
 -20.2415,-70.1342
 -20.2415,-70.1342
 -20.2415,-70.1342
 -20.2415,-70.1342
 -20.2415,-70.1342
 -20.2415,-70.1342
 -20.22931167,-70.13203046
 -20.2282344,-70.13139725
 -22.461962,-68.926378
 -22.461962,-68.926378
 -22.461962,-68.926378
 -11,-68.7333
 -23.2264,-68.7166
 -16.189249,-68.257895
 -16.189249,-68.257895
 -22.89083334,-68.21444445
 -22.912977,-68.200642
 -22.912977,-68.200642
 -16.5,-68.15
 -16.4965,-68.134
 -16.489689,-68.1192936
 -16.56768,-68.08874
 -22.33138889,-68.01027778
 -9.96667,-67.8
 -9.96667,-67.8
 -20.46294618,-66.82403504
 2.4038958,-66.38978757
 -17.38,-66.17
 -5.17059963,-65.50903824
 -26.82805634,-65.21555328
 -31.2935572,-64.3089407
 -31.4,-64.1833
 -31.4,-64.1833
 -31.3865782,-64.130491
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.7619,-63.9039
 -8.77142318,-63.89614012
 8.0771554,-63.5198345
 -24.2,-63.25
 -17.78050321,-63.18973303
 -17.78050321,-63.18973303
 -17.82645838,-63.17473815
 -17.8145819,-63.1560853
 -17.78252604,-63.14887762
 -17.78252604,-63.14887762
 -9.8767685,-63.0402046
 -9.8767685,-63.0402046
 -10.8721318,-61.9592887
 -10.8721318,-61.9592887
 -10.8835839,-61.9512534
 -10.887775,-61.923951
 -10.887775,-61.923951
 5.18974167,-60.73881667
 2.85013157,-60.70697674
 -31.63333333,-60.7
 2.80614926,-60.68123006
 2.80649541,-60.67737549
 2.82,-60.67194444
 2.82,-60.67194444
 2.82,-60.67194444
 2.82863025,-60.66670815
 2.85474935,-60.64464618
 -3.0698879,-60.04248776
 -3.10889,-60.0411
 -3.10889,-60.0411
 -3.10719,-60.0261
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.11333,-60.0253
 -3.12,-60.02
 -3.10568449,-60.01814949
 -3.1426,-60.01552
 -3.09292892,-60.01023026
 -3.1155843,-60.00852567
 -3.104507,-60.00501324
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.1356091,-60.0019186
 -3.0366693,-59.9342078
 -26.1987112,-58.2162307
 -25.28804833,-57.60205034
 -25.30807059,-57.59661728
 -25.29290806,-57.57726582
 -25.29187,-57.56589
 -25.29229332,-57.56174643
 -25.08899974,-57.52767563
 -25.08899974,-57.52767563
 -25.08899974,-57.52767563
 -25.08899974,-57.52767563
 -25.08899974,-57.52767563
 -29.755,-57.0878
 -2.62740044,-56.74141569
 -2.62743636,-56.73714852
 -25.77982192,-56.44399309
 -25.76939354,-56.44399309
 -15.60590091,-56.12785081
 -15.59354404,-56.10592631
 -15.5958,-56.0969
 -15.5958,-56.0969
 -15.5958,-56.0969
 -15.6,-56.09
 -15.5615,-56.0469756
 -15.63910733,-56.03130887
 -28.6281493,-56.0243653
 -15.6301505,-56.0134243
 -15.6328156,-56.0118967
 -13.1167,-55.9333
 -9.9,-55.9
 -27.3677235,-55.8965187
 -15.46083333,-55.75
 -15.46083333,-55.75
 -22.53905408,-55.73602453
 -22.5089166,-55.7257357
 -22.5083364,-55.7252472
 -22.56794963,-55.72284921
 5.8314,-55.179876
 -21.6333,-55.15
 -21.6333,-55.15
 -2.51667,-54.95
 -22.22083333,-54.80583333
 -20.44277778,-54.64583333
 -16.4667,-54.6333
 -20.45,-54.6167
 -20.45,-54.6167
 -20.45,-54.6167
 -25.55,-54.5833
 -25.5328368,-54.57872908
 -23.7667,-54.1
 -28.3861554,-53.9092814
 -22.3139,-53.8176
 -17.3167,-53.2
 -29.76,-53.16
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -11,-53
 -26.4,-52.7667
 -21.7,-52.3667
 -31.7786948,-52.350428
 -31.7719,-52.3425
 -3.199,-52.2106
 -3.199,-52.2106
 -21.7667,-52.1
 -2.88456068,-52.01331068
 -23.42573,-51.9369
 -21.87909787,-51.85445509
 -21.8667,-51.8333
 -30.87335745,-51.81263856
 -17.8833,-51.7167
 -17.8833,-51.7167
 -23.2167,-51.6667
 -1.41667,-51.65
 -29.2623584,-51.496133
 -23.40492,-51.44532
 -22.10774433,-51.4205444
 -22.1160436,-51.4071689
 -22.1256,-51.3889
 -22.1256,-51.3889
 -30.0313892,-51.2345314
 -30.06243524,-51.23101627
 -29.97805972,-51.20083757
 -0.05,-51.1833
 -0.05,-51.1833
 -29.91030523,-51.18223025
 -23.32976174,-51.18061943
 -23.29233236,-51.17924538
 -23.3044524,-51.1695824
 -23.32969007,-51.16853905
 -29.73510656,-51.14817846
 -29.76,-51.1469
 -29.76598204,-51.14624847
 -29.68350193,-51.13007145
 -0.00848421,-51.08082483
 0.02540125,-51.06972744
 0.03992598,-51.06972744
 0.03433227,-51.06844425
 0.0305094,-51.068078
 -21.6833,-51.0667
 0.03115513,-51.06339062
 0.03588261,-51.06336283
 0.03098763,-51.0632147
 0.0342,-51.0603
 0.0342,-51.0603
 0.02586278,-51.05697897
 0.0701707,-51.05611027
 0.03673476,-51.05426362
 -29.62867,-50.978904
 -21.79501482,-50.87972649
 -21.25511173,-50.64543307
 -25.02388889,-50.58388889
 -29.83582013,-50.53681707
 -20.2667,-50.2333
 -22.7833,-50.2
 -20.14715796,-50.19658685
 -21.0712659,-50.1459559
 -8.04095686,-50.02352
 -22.2370648,-49.9679958
 -20.42013768,-49.95617329
 -21.7971658,-49.94108158
 -21.7971658,-49.94108158
 -6.0707,-49.9043
 -6.0707,-49.9043
 -15.336886,-49.818028
 -21.6667,-49.75
 -21.6667,-49.75
 -16.6667,-49.5
 -16.66071166,-49.48548032
 -20.9333,-49.4667
 -20.7667,-49.4667
 -21.58572858,-49.44070731
 -25.43204,-49.40744
 -16.67894,-49.3888
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -20.8,-49.3833
 -16.60421274,-49.36444791
 -24.11580317,-49.34224708
 -24.11580317,-49.34224708
 -20.4833,-49.3167
 -20.4833,-49.3167
 -16.7181257,-49.3108959
 -16.66619024,-49.30892491
 -16.71274,-49.30695
 -16.74898913,-49.30389404
 -16.74898913,-49.30389404
 -16.70523877,-49.30101871
 -16.64864,-49.29463
 -16.66639889,-49.29413366
 -16.7065122,-49.2918964
 -16.69499987,-49.29181539
 -16.65769667,-49.28908167
 -16.65775833,-49.28904667
 -16.65775833,-49.28904667
 -16.76713158,-49.28535461
 -21.2167,-49.2833
 -25.44004453,-49.28229132
 -16.7139321,-49.28018332
 -16.72752686,-49.2786658
 -25.448333,-49.276944
 -25.44838175,-49.27672265
 -16.78520554,-49.27554309
 -16.7183731,-49.2754225
 -16.71618774,-49.27383081
 -25.43062747,-49.27375019
 -16.73211705,-49.27297843
 -16.6479273,-49.2722885
 -16.6923109,-49.2719821
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -16.6869,-49.2707
 -25.4346,-49.2699
 -25.4346,-49.2699
 -25.4346,-49.2699
 -25.4346,-49.2699
 -16.69547682,-49.26960049
 -16.69920664,-49.26374674
 -16.69838459,-49.26350546
 -16.7155111,-49.2632246
 -16.6971194,-49.2631921
 -16.70476767,-49.26319013
 -16.69827016,-49.26133743
 -16.71798063,-49.26009893
 -16.71798063,-49.26009893
 -16.6591127,-49.2585761
 -25.42276,-49.25751
 -16.6420299,-49.25681
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.6799,-49.255
 -16.69746305,-49.25446123
 -16.680567,-49.24929
 -16.72499342,-49.24866614
 -16.68375162,-49.24783242
 -16.68375162,-49.24783242
 -16.70327219,-49.23840555
 -16.713114,-49.2368417
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.6961564,-49.23487689
 -16.69619802,-49.2348437
 -16.69619802,-49.2348437
 -16.69619802,-49.2348437
 -16.69619802,-49.2348437
 -16.698889,-49.233889
 -16.698889,-49.233889
 -16.6700565,-49.2325165
 -16.6700563,-49.2325164
 -16.6700574,-49.2325154
 -16.6700761,-49.2324812
 -16.6700891,-49.2324654
 -16.6700815,-49.2324254
 -16.6701126,-49.232401
 -16.6700218,-49.2324
 -16.6700963,-49.2323636
 -16.67013,-49.2323484
 -16.64351005,-49.22840344
 -16.65081574,-49.22824183
 -16.64103678,-49.22697652
 -16.64105488,-49.22695532
 -16.64105488,-49.22695532
 -16.64107069,-49.22695136
 -16.64106004,-49.22693634
 -16.64104856,-49.22692997
 -16.64104803,-49.22692235
 -16.64102282,-49.22690084
 -16.64102282,-49.22690084
 -16.64102796,-49.22689638
 -16.73084136,-49.2249627
 -16.64986163,-49.22360295
 -11.86735091,-49.21875
 -11.86735091,-49.21875
 -21.4667,-49.2167
 -21.4667,-49.2167
 -16.4942347,-49.2152681
 -21.82972222,-49.2075
 -21.82972222,-49.2075
 -21.82972222,-49.2075
 -16.73061745,-49.2066598
 -15.3,-49.1167
 -5.34905376,-49.09565705
 -22.3312903,-49.0612442
 -22.3312292,-49.0611717
 -22.31472222,-49.06055556
 -25.39861111,-49.03861111
 -22.37080586,-49.03647291
 -17.3,-49.0167
 -1.97144149,-48.96320395
 -16.36646837,-48.96297455
 -15.85194444,-48.95888889
 -16.3339,-48.9519
 -16.33175494,-48.95080385
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.9667,-48.95
 -16.332575,-48.944743
 -16.32953749,-48.94371085
 -16.33289274,-48.93805938
 -16.80747092,-48.89886447
 -23.9897964,-48.876403
 -16.1,-48.8
 -22.6,-48.7833
 -27.025,-48.6539
 -27.59569707,-48.64337325
 -17.75,-48.6333
 -17.7456927,-48.63230109
 -26.1169,-48.6158
 -20.54191,-48.57744
 -20.5572,-48.5678
 -20.5572,-48.5678
 -20.5572,-48.5678
 -27.5955946,-48.55865212
 -27.593,-48.5466
 -25.67388889,-48.51083333
 -1.45502,-48.5024
 -1.44993,-48.50015
 -27.44013,-48.49922
 -1.46152151,-48.48923251
 -1.44425,-48.48866
 -20.9529264,-48.4875992
 -20.9529264,-48.4875992
 -1.44248,-48.48436
 -1.45416351,-48.48266703
 -1.44569,-48.48037
 -1.4577738,-48.47767405
 -1.45786889,-48.47738383
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.4511,-48.4772
 -1.429325,-48.4703122
 -1.4028928,-48.4576452
 -22.8858,-48.445
 -1.3750557,-48.4400165
 -22.8974064,-48.4375564
 -1.3784441,-48.3999837
 -1.3658,-48.3719
 -1.3658,-48.3719
 -1.3658,-48.3719
 -21.63151081,-48.35354788
 -10.2,-48.35
 -10.2,-48.35
 -10.2,-48.35
 -10.2,-48.35
 -10.2,-48.35
 -10.18736271,-48.33952188
 -10.1898875,-48.32998692
 -10.17884523,-48.32724462
 -21.27751047,-48.31850443
 -21.2667,-48.3167
 -18.9167,-48.3
 -18.9167,-48.3
 -18.9167,-48.3
 -18.9167,-48.3
 -10.33681725,-48.28128379
 -10.3380426,-48.27419621
 -2.42102941,-48.24951842
 -18.9214403,-48.2316919
 -21.7947,-48.1761
 -21.7947,-48.1761
 -21.7947,-48.1761
 -22.27987424,-48.12365059
 -15.81191698,-48.12154613
 -15.8221,-48.1124
 -21.5833,-48.0833
 -15.907793,-48.08065
 -15.907793,-48.08065
 -15.907793,-48.08065
 -15.87434,-48.07721
 -15.86192772,-48.07504535
 -16.01740492,-48.07089039
 -15.87268,-48.0702
 -21.3667,-48.0667
 -15.80689353,-48.06654074
 -16.01385393,-48.06420878
 -16.018,-48.0603
 -16.01314437,-48.05999783
 -15.82912101,-48.0598603
 -16.02656572,-48.05911603
 -16.01998315,-48.05688376
 -16.01998315,-48.05688376
 -15.997935,-48.056725
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.83333333,-48.05638889
 -15.836798,-48.055702
 -16.02296323,-48.05555139
 -16.02229,-48.05545
 -15.83977911,-48.05149555
 -15.83977911,-48.05149555
 -15.79457876,-48.05138162
 -15.83628898,-48.05023691
 -16.0056322,-48.049423
 -15.83451239,-48.04681589
 -15.83451239,-48.04681589
 -15.98561823,-48.04581894
 -15.79260062,-48.04235285
 -15.9736785,-48.04138815
 -15.83397536,-48.03734117
 -15.8345184,-48.036463
 -15.8345184,-48.036463
 -15.84142909,-48.03429517
 -15.83807419,-48.03223588
 -15.83812008,-48.03211872
 -15.80314,-48.0276799
 -15.84158072,-48.027543
 -15.8690132,-48.02570678
 -15.84209754,-48.0228739
 -20.18151906,-48.02058382
 -15.81673202,-48.01944729
 -16.0686204,-48.0192896
 -15.83583448,-48.01906446
 -15.88028336,-48.01831818
 -15.80175131,-48.01746368
 -15.80175131,-48.01746368
 -15.80175131,-48.01746368
 -15.81571038,-48.01559155
 -15.8886762,-48.0136764
 -15.831625,-48.01207781
 -15.87881575,-48.00922372
 -15.793563,-48.002958
 -15.793563,-48.002958
 -15.94501204,-47.98938194
 -15.94501204,-47.98938194
 -15.84678773,-47.98584362
 -16.0712,-47.9852
 -16.0712,-47.9852
 -16.08618488,-47.98347929
 -16.08618488,-47.98347929
 -16.08618488,-47.98347929
 -16.08618488,-47.98347929
 -15.88774623,-47.98103389
 -15.84690686,-47.97730427
 -15.84690686,-47.97730427
 -15.84677341,-47.97723951
 -21.23840243,-47.97551394
 -15.8667,-47.9667
 -15.8667,-47.9667
 -15.8667,-47.9667
 -15.8679103,-47.9636304
 -15.81835064,-47.95710325
 -15.85370317,-47.95397988
 -18.1667,-47.95
 -15.80768006,-47.94445583
 -15.80100384,-47.9424254
 -19.75136457,-47.93889788
 -19.75136457,-47.93889788
 -15.78,-47.93
 -15.7801,-47.9292
 -15.7801,-47.9292
 -15.7801,-47.9292
 -15.7801,-47.9292
 -19.75175,-47.92891
 -19.75175,-47.92891
 -25.01358054,-47.92733602
 -1.29186184,-47.92718109
 -1.2967,-47.9224
 -15.86993612,-47.92156935
 -15.80483572,-47.91940481
 -19.7333,-47.9167
 -15.80345453,-47.91082055
 -15.81988647,-47.907389
 -15.81987837,-47.90735364
 -15.82328954,-47.90508309
 -15.82328954,-47.90508309
 -15.82328954,-47.90508309
 -15.81211647,-47.90139482
 -15.8333,-47.9
 -15.8333,-47.9
 -15.8333,-47.9
 -15.8333,-47.9
 -15.8333,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.8,-47.9
 -15.7835,-47.899164
 -15.7835,-47.899164
 -15.78402453,-47.89899208
 -15.78402453,-47.89899208
 -15.78272,-47.89649
 -15.75884525,-47.8951806
 -15.73715,-47.89457
 -15.82434692,-47.89265238
 -15.80676041,-47.89198458
 -15.75635,-47.8906599
 -15.80744974,-47.89034843
 -15.81466546,-47.88961887
 -15.8148029,-47.88954237
 -15.75768717,-47.8895236
 -15.7867797,-47.8893455
 -15.79692056,-47.88843644
 -15.81603386,-47.8881526
 -15.79783203,-47.88786103
 -15.7435538,-47.88654648
 -15.80480869,-47.8844932
 -15.80480869,-47.8844932
 -15.80480869,-47.8844932
 -15.80480869,-47.8844932
 -15.80480869,-47.8844932
 -15.75786335,-47.88366435
 -15.75786335,-47.88366435
 -15.75786335,-47.88366435
 -15.79199626,-47.88351684
 -15.79161937,-47.88332242
 -15.79144155,-47.88325727
 -15.79864406,-47.88320168
 -15.80066889,-47.88208662
 -15.75376358,-47.88121759
 -15.78354003,-47.87871838
 -15.79757138,-47.87803072
 -15.75796039,-47.87701514
 -15.77324817,-47.87613845
 -15.79799038,-47.87554005
 -15.82479568,-47.87394941
 -15.82540953,-47.87277319
 -15.79847176,-47.86404499
 -15.80083333,-47.86138889
 -15.66636825,-47.84761505
 -15.66636825,-47.84761505
 -15.66636825,-47.84761505
 -15.66636825,-47.84761505
 -15.66636825,-47.84761505
 -15.66636825,-47.84761505
 -15.81616319,-47.8452031
 -15.80841643,-47.83723807
 -15.80841643,-47.83723807
 -21.22556922,-47.83522021
 -15.78614174,-47.83478379
 -15.87122397,-47.82203295
 -15.86859542,-47.8210798
 -15.8333,-47.8167
 -15.8333,-47.8167
 -15.6333,-47.8167
 -21.1667,-47.8
 -21.1667,-47.8
 -21.1667,-47.8
 -21.1667,-47.8
 -21.1667,-47.8
 -15.65305556,-47.79138889
 -15.900979,-47.77284
 -15.89716403,-47.77256054
 -15.89716403,-47.77256054
 -21.24032245,-47.75793314
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.795,-47.75777778
 -15.62261,-47.65877
 -22.7253,-47.6492
 -15.62994385,-47.64915166
 -15.45277778,-47.61388889
 -16.7651104,-47.6056651
 -16.75,-47.6
 -16.75,-47.6
 -16.75,-47.6
 -18.22413295,-47.58200698
 -24.0516899,-47.571519
 -22.99832,-47.50211
 -23.52355868,-47.47211986
 -23.5279036,-47.4687596
 -21.85,-47.4667
 -21.99852,-47.4309
 -20.54259,-47.422656
 -22.7587848,-47.4126811
 -22.5737,-47.4075
 -20.5386,-47.4008
 -20.5386,-47.4008
 -22.32254707,-47.38484859
 -22.3572,-47.3844
 -22.35896641,-47.37854004
 -2.99230552,-47.34817886
 -22.7403,-47.3344
 -0.616667,-47.3333
 -0.616667,-47.3333
 -22.74957,-47.32916
 -15.540771,-47.32147
 -23.08885,-47.22567
 -23.55,-47.1667
 -22.6913283,-47.157803
 -22.96296387,-47.15231016
 -22.5833,-47.15
 -22.9378689,-47.1066181
 -22.9253699,-47.0813914
 -22.82852807,-47.0794207
 -22.81722222,-47.06944444
 -22.9010712,-47.0672085
 -22.85157255,-47.06174265
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.900833,-47.057222
 -22.90353444,-47.05304112
