pais,coordinates
brasil,"[-57.60205034, -25.28804833]"
brasil,"[-57.59661728, -25.30807059]"
brasil,"[-57.57726582, -25.29290806]"
brasil,"[-57.56589, -25.29187]"
brasil,"[-57.56174643, -25.29229332]"
brasil,"[-57.52767563, -25.08899974]"
brasil,"[-57.52767563, -25.08899974]"
brasil,"[-57.52767563, -25.08899974]"
brasil,"[-57.52767563, -25.08899974]"
brasil,"[-57.52767563, -25.08899974]"
brasil,"[-57.0878, -29.755]"
brasil,"[-56.74141569, -2.62740044]"
brasil,"[-56.73714852, -2.62743636]"
brasil,"[-56.44399309, -25.77982192]"
brasil,"[-56.44399309, -25.76939354]"
brasil,"[-56.12785081, -15.60590091]"
brasil,"[-56.10592631, -15.59354404]"
brasil,"[-56.0969, -15.5958]"
brasil,"[-56.0969, -15.5958]"
brasil,"[-56.0969, -15.5958]"
brasil,"[-56.09, -15.6]"
brasil,"[-56.0469756, -15.5615]"
brasil,"[-56.03130887, -15.63910733]"
brasil,"[-56.0243653, -28.6281493]"
brasil,"[-56.0134243, -15.6301505]"
brasil,"[-56.0118967, -15.6328156]"
brasil,"[-55.9333, -13.1167]"
brasil,"[-55.9, -9.9]"
brasil,"[-55.8965187, -27.3677235]"
brasil,"[-55.75, -15.46083333]"
brasil,"[-55.75, -15.46083333]"
brasil,"[-55.73602453, -22.53905408]"
brasil,"[-55.7257357, -22.5089166]"
brasil,"[-55.7252472, -22.5083364]"
brasil,"[-55.72284921, -22.56794963]"
brasil,"[-55.179876, 5.8314]"
brasil,"[-55.15, -21.6333]"
brasil,"[-55.15, -21.6333]"
brasil,"[-54.95, -2.51667]"
brasil,"[-54.80583333, -22.22083333]"
brasil,"[-54.64583333, -20.44277778]"
brasil,"[-54.6333, -16.4667]"
brasil,"[-54.6167, -20.45]"
brasil,"[-54.6167, -20.45]"
brasil,"[-54.6167, -20.45]"
brasil,"[-54.5833, -25.55]"
brasil,"[-54.57872908, -25.5328368]"
brasil,"[-54.1, -23.7667]"
brasil,"[-53.9092814, -28.3861554]"
brasil,"[-53.8176, -22.3139]"
brasil,"[-53.2, -17.3167]"
brasil,"[-53.16, -29.76]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
