lat,long
 'coordinate,oordinates']
 45.4337102,12.3473201
 42.79333333,13.09388889
 46.2259177,13.1033646
 46.1,13.11666667
 45.68597625,13.12986374
 45.68660214,13.1423113
 45.68660214,13.1423113
 47.12231593,13.14293069
 43.4833,13.15
 42.82906479,13.20590973
 43.7197926,13.2152224
 43.7197926,13.2152224
 43.7197926,13.2152224
 43.7197926,13.2152224
 46.0619,13.2422
 43.2,13.2833
 43.2,13.2833
 43.2,13.2833
 42.92803,13.30762
 42.92803,13.30762
 42.92803,13.30762
 46.3739,13.3103
 46.3739,13.3103
 46.3739,13.3103
 46.3739,13.3103
 43.3167,13.3167
 43.3167,13.3167
 43.6,13.3167
 46.01666667,13.33333333
 42.9611439,13.3483792
 43.4613,13.35913
 45.77206098,13.3665833
 42.3667,13.3667
 42.3667,13.3667
 42.3667,13.3667
 45.6786,13.3869
 45.6786,13.3869
 45.6786,13.3869
 46.06945347,13.3876401
 43.52504967,13.39748512
 42.34524726,13.39753747
 42.34425337,13.39915813
 43.602261,13.417217
 46.09161,13.43215
 46.0905,13.435
 46.0905,13.435
 46.0905,13.435
 46.0905,13.435
 43.30025,13.45330278
 43.30025,13.45330278
 43.30025,13.45330278
 43.30094638,13.4536171
 43.6,13.4667
 43.48608056,13.4821
 43.48608056,13.4821
 43.48608056,13.4821
 43.48608056,13.4821
 43.48608056,13.4821
 43.60718293,13.49940777
 45.83333333,13.5
 45.8925,13.5017
 43.6065331,13.5038523
 43.6122017,13.5039997
 43.6122017,13.5039997
 47.30025556,13.50474338
 43.61879577,13.50811429
 43.61273301,13.51123427
 43.56260241,13.51182847
 43.56259807,13.5119226
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.36818376,13.51315323
 43.55285595,13.51487875
 43.6169,13.5167
 43.6169,13.5167
 43.6169,13.5167
 45.4338901,13.52055767
 45.4314,13.5239
 45.4314,13.5239
