pais,coordinates
uruguay,"{u'type': u'Point', u'coordinates': [-58.64331196, -34.49677059]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.63230106, -34.44717021]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.6227887, -34.64889994]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.6196685, -34.6508521]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.61666667, -34.65]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.61666667, -34.6]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.6144323, -34.5607434]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.59189034, -34.6017398]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.59165808, -34.60265289]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.58333333, -34.41666667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.57282132, -34.35526808]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5667249, -34.6282887]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5667, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.56666667, -34.65]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.56612383, -34.41678829]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.565, -34.598056]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.56216728, -34.67768896]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5514525, -34.5473842]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.54916667, -34.53527778]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.54916667, -34.53527778]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.54916667, -34.53527778]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.54117618, -34.81596162]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.54046983, -34.81390132]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.53933933, -34.8139446]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.53911412, -34.81380348]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5372, -34.5759]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.53583333, -34.82222222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5333, -34.7167]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5333, -34.4667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5333, -34.4667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5286, -34.4708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5286, -34.4708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5286, -34.4708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5286, -34.4708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5286, -34.4708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.52522949, -34.60476377]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.52522949, -34.60476377]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.52269625, -34.5144174]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5225, -34.8542]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.52080815, -34.63517708]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.520711, -34.635375]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5206908, -34.63494986]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.51739828, -34.6119124]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5167, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5167, -34.6]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5142, -33.0103]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.504589, -34.609503]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.50442162, -34.55619357]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5, -34.6333]}"
