pais,coordinates
belgica,"[3.071516, 50.636108]"
belgica,"[3.071516, 50.636108]"
belgica,"[3.07398414, 50.63771514]"
belgica,"[3.07560216, 50.63921791]"
belgica,"[3.07593474, 50.8103845]"
belgica,"[3.07606005, 50.78016627]"
belgica,"[3.07663474, 50.28215016]"
belgica,"[3.07698727, 50.63348489]"
belgica,"[3.07698727, 50.63348489]"
belgica,"[3.08232943, 50.61431076]"
belgica,"[3.08333, 50.6667]"
belgica,"[3.08676, 50.66219]"
belgica,"[3.0913162, 50.6800439]"
belgica,"[3.1, 50.7]"
belgica,"[3.10589641, 50.57158142]"
belgica,"[3.10850941, 51.03222402]"
belgica,"[3.1294471, 50.9499087]"
belgica,"[3.13333, 50.7833]"
belgica,"[3.14055556, 50.70333333]"
belgica,"[3.14368766, 50.87106493]"
belgica,"[3.14416667, 50.62277778]"
belgica,"[3.15915257, 50.83720328]"
belgica,"[3.16149831, 50.67594296]"
belgica,"[3.16501, 50.7304699]"
belgica,"[3.16575, 50.69849]"
belgica,"[3.17437677, 50.81816182]"
belgica,"[3.177847, 50.692705]"
belgica,"[3.17814719, 50.42456829]"
belgica,"[3.17852497, 50.69380442]"
belgica,"[3.17972014, 51.19273034]"
belgica,"[3.179967, 50.808076]"
belgica,"[3.179967, 50.808076]"
belgica,"[3.18012339, 50.80814931]"
belgica,"[3.18012339, 50.80814931]"
belgica,"[3.18012339, 50.80814931]"
belgica,"[3.18012339, 50.80814931]"
belgica,"[3.180168, 50.808122]"
belgica,"[3.18073642, 51.19721698]"
belgica,"[3.18151, 50.80862]"
belgica,"[3.18333, 51.3]"
belgica,"[3.19354211, 50.17466763]"
belgica,"[3.19354211, 50.17466763]"
belgica,"[3.19368269, 51.20399437]"
belgica,"[3.19588161, 51.15548942]"
belgica,"[3.19588161, 51.15548942]"
belgica,"[3.19588161, 51.15548942]"
belgica,"[3.19960285, 50.97332096]"
belgica,"[3.20240114, 51.23219936]"
belgica,"[3.2024555, 51.23217497]"
belgica,"[3.20457302, 50.84396292]"
belgica,"[3.205464, 50.912756]"
belgica,"[3.20573173, 50.91292362]"
belgica,"[3.2099368, 50.92353565]"
belgica,"[3.21073392, 49.74864803]"
belgica,"[3.215466, 51.204401]"
belgica,"[3.215466, 51.204401]"
belgica,"[3.215466, 51.204401]"
belgica,"[3.21547001, 51.20445015]"
belgica,"[3.21547001, 51.20445015]"
belgica,"[3.21547001, 51.20445015]"
belgica,"[3.21667, 50.7333]"
belgica,"[3.21667, 51.1167]"
belgica,"[3.216726, 51.197226]"
belgica,"[3.21735525, 51.1971372]"
belgica,"[3.21893646, 50.75373589]"
belgica,"[3.2225822, 51.20614351]"
belgica,"[3.22273, 51.21075]"
belgica,"[3.22382272, 51.20804428]"
belgica,"[3.22396507, 51.20868647]"
belgica,"[3.22428529, 51.20854664]"
belgica,"[3.2245, 51.20848]"
belgica,"[3.224722, 51.208333]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.2249, 51.2085]"
belgica,"[3.22531349, 51.20655484]"
belgica,"[3.22531349, 51.20655484]"
belgica,"[3.22531349, 51.20655484]"
belgica,"[3.22531349, 51.20655484]"
belgica,"[3.22531349, 51.20655484]"
belgica,"[3.22547038, 51.2075486]"
belgica,"[3.22569206, 51.19955797]"
belgica,"[3.22569206, 51.19955797]"
belgica,"[3.2258346, 50.7586862]"
belgica,"[3.22616, 51.2096]"
belgica,"[3.22616, 51.2096]"
belgica,"[3.2261901, 51.206749]"
belgica,"[3.2319734, 51.20927857]"
belgica,"[3.23456, 51.21011]"
belgica,"[3.23647061, 50.82687029]"
belgica,"[3.23647061, 50.82687029]"
belgica,"[3.24288481, 50.87204715]"
belgica,"[3.245959, 50.713894]"
belgica,"[3.24897051, 50.83041795]"
belgica,"[3.24986513, 50.83691185]"
belgica,"[3.24986513, 50.83691185]"
belgica,"[3.25435638, 50.92448956]"
belgica,"[3.25616892, 50.82547411]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26085536, 50.82619251]"
belgica,"[3.26198987, 50.8456837]"
belgica,"[3.26294487, 50.82687411]"
belgica,"[3.26436012, 50.82430966]"
belgica,"[3.26503786, 50.80163685]"
belgica,"[3.26558988, 50.82727053]"
belgica,"[3.26576114, 50.82721254]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26602162, 50.82588057]"
belgica,"[3.26666667, 50.83333333]"
belgica,"[3.26667, 51.35]"
belgica,"[3.26751597, 50.8262183]"
belgica,"[3.26787376, 50.82528439]"
belgica,"[3.26788918, 50.8256469]"
belgica,"[3.26805025, 50.82673973]"
belgica,"[3.26972869, 50.82721094]"
belgica,"[3.26989366, 50.82599581]"
belgica,"[3.2713014, 50.83147574]"
belgica,"[3.27165217, 50.84530929]"
belgica,"[3.27305147, 50.8258516]"
belgica,"[3.27305147, 50.8258516]"
belgica,"[3.27311842, 50.82649777]"
belgica,"[3.27326112, 50.82608025]"
belgica,"[3.27917, 50.35618]"
belgica,"[3.28060736, 50.77715674]"
belgica,"[3.28403392, 50.81513193]"
belgica,"[3.2859, 50.3464]"
belgica,"[3.2859, 50.3464]"
belgica,"[3.28725625, 51.34552007]"
belgica,"[3.28768459, 50.84626922]"
belgica,"[3.3, 50.85]"
belgica,"[3.3040309, 50.77763561]"
belgica,"[3.30888278, 50.87565188]"
belgica,"[3.32045903, 50.83898885]"
belgica,"[3.33283525, 50.81375035]"
belgica,"[3.33283525, 50.81375035]"
belgica,"[3.333833, 49.784275]"
belgica,"[3.333833, 49.784275]"
belgica,"[3.333833, 49.784275]"
belgica,"[3.333833, 49.784275]"
belgica,"[3.36667, 50.9]"
belgica,"[3.36667, 50.9]"
belgica,"[3.37445746, 50.85421327]"
belgica,"[3.38333, 50.5]"
belgica,"[3.38333, 50.6]"
belgica,"[3.38333, 50.6]"
belgica,"[3.3881848, 50.771442]"
belgica,"[3.39843527, 51.38150864]"
belgica,"[3.4, 50.3667]"
belgica,"[3.40188589, 50.86437868]"
belgica,"[3.41496, 50.8843]"
belgica,"[3.41496, 50.8843]"
belgica,"[3.41667, 50.8833]"
belgica,"[3.41667, 50.8833]"
belgica,"[3.41667, 50.8833]"
belgica,"[3.41855816, 50.88696933]"
belgica,"[3.42743667, 50.8807815]"
belgica,"[3.432837, 50.866337]"
belgica,"[3.43333, 50.7667]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.43964447, 50.88520192]"
belgica,"[3.44065939, 50.88551292]"
belgica,"[3.44065939, 50.88551292]"
belgica,"[3.44065939, 50.88551292]"
belgica,"[3.44065939, 50.88551292]"
belgica,"[3.44065939, 50.88551292]"
belgica,"[3.44633974, 51.0874214]"
belgica,"[3.4494, 50.5669]"
belgica,"[3.451309, 50.569626]"
belgica,"[3.46273, 50.3372699]"
belgica,"[3.48510997, 50.7588401]"
belgica,"[3.486352, 50.389781]"
belgica,"[3.49732265, 51.56543897]"
belgica,"[3.49774611, 51.56375455]"
belgica,"[3.52666667, 50.71777778]"
belgica,"[3.52898467, 51.20485241]"
belgica,"[3.53333, 50.35]"
belgica,"[3.55199408, 51.19005357]"
belgica,"[3.55675, 51.4671]"
belgica,"[3.55675, 51.4671]"
belgica,"[3.58333, 50.45]"
belgica,"[3.58333, 50.8]"
belgica,"[3.58333, 51.45]"
belgica,"[3.58965977, 51.29292238]"
belgica,"[3.592772, 50.513704]"
belgica,"[3.60576164, 50.85573748]"
belgica,"[3.6095164, 51.0977984]"
belgica,"[3.61667, 49.5667]"
belgica,"[3.61667, 49.5667]"
belgica,"[3.616872, 50.600612]"
belgica,"[3.63147167, 51.03431769]"
belgica,"[3.64731329, 50.96554886]"
belgica,"[3.65, 49.9833]"
belgica,"[3.66262, 51.3686]"
belgica,"[3.6684, 50.51005]"
belgica,"[3.7, 51.1167]"
belgica,"[3.70456572, 51.11319835]"
belgica,"[3.70782294, 51.10871347]"
belgica,"[3.71054078, 51.03575951]"
belgica,"[3.71083617, 51.03610485]"
belgica,"[3.7116403, 51.63456543]"
belgica,"[3.71582, 51.03891]"
belgica,"[3.72114, 51.054]"
belgica,"[3.72128, 51.05512]"
belgica,"[3.72181236, 51.0539731]"
belgica,"[3.722, 51.04967]"
belgica,"[3.72224753, 51.05418277]"
belgica,"[3.72365664, 51.0529198]"
belgica,"[3.72541092, 51.04219631]"
belgica,"[3.72552797, 51.03970066]"
belgica,"[3.72552797, 51.03970066]"
belgica,"[3.72572243, 51.0399764]"
belgica,"[3.72574493, 51.0424207]"
belgica,"[3.72574493, 51.0424207]"
belgica,"[3.72653, 51.0567]"
belgica,"[3.72655, 51.0109]"
belgica,"[3.72715337, 51.05995353]"
belgica,"[3.72715337, 51.05995353]"
belgica,"[3.72824953, 51.05605049]"
belgica,"[3.72864054, 51.05756557]"
belgica,"[3.73225011, 51.06646464]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.7333, 51.05]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.74208927, 50.41158067]"
belgica,"[3.743303, 51.024774]"
belgica,"[3.75, 51]"
belgica,"[3.75928613, 51.05850696]"
belgica,"[3.76601552, 50.40901056]"
belgica,"[3.76667, 51.1]"
belgica,"[3.76667, 51.1333]"
belgica,"[3.76687204, 51.10158821]"
belgica,"[3.76970755, 51.14429778]"
belgica,"[3.77620697, 50.99479714]"
belgica,"[3.777429, 50.626932]"
belgica,"[3.78333333, 50.4]"
belgica,"[3.820253, 50.44286]"
belgica,"[3.83333, 51.3333]"
belgica,"[3.836434, 50.712015]"
belgica,"[3.836434, 50.712015]"
belgica,"[3.84887689, 51.32014785]"
belgica,"[3.84887689, 51.32014785]"
belgica,"[3.848877, 51.320148]"
belgica,"[3.848877, 51.320148]"
belgica,"[3.8506098, 51.054043]"
belgica,"[3.852551, 50.594229]"
belgica,"[3.870837, 51.000865]"
belgica,"[3.870837, 51.000865]"
belgica,"[3.87203506, 50.77218242]"
belgica,"[3.872328, 50.771137]"
belgica,"[3.87612892, 51.00978558]"
belgica,"[3.88110056, 50.77340995]"
belgica,"[3.88110056, 50.77340995]"
belgica,"[3.88333, 51]"
belgica,"[3.88333, 51]"
belgica,"[3.88333, 51]"
belgica,"[3.88333, 51]"
belgica,"[3.88333, 51.5]"
belgica,"[3.885587, 50.452577]"
belgica,"[3.885587, 50.452577]"
belgica,"[3.88742911, 50.58587386]"
belgica,"[3.88742911, 50.58587386]"
belgica,"[3.88742911, 50.58587386]"
belgica,"[3.89104, 51.49847]"
belgica,"[3.90596282, 50.95601276]"
belgica,"[3.910694, 50.530496]"
belgica,"[3.91286, 51.7266]"
belgica,"[3.91666667, 50.65]"
belgica,"[3.920851, 50.908245]"
belgica,"[3.921553, 50.801871]"
belgica,"[3.92444444, 50.24805556]"
belgica,"[3.93333, 50.45]"
belgica,"[3.93333, 50.45]"
belgica,"[3.93333, 50.45]"
belgica,"[3.9498, 50.4534]"
belgica,"[3.9498, 50.4534]"
belgica,"[3.967046, 50.745439]"
belgica,"[3.977222, 51.042222]"
belgica,"[3.98333, 51.1833]"
belgica,"[3.98463, 51.10525]"
belgica,"[3.987524, 50.911054]"
belgica,"[3.987794, 51.108062]"
belgica,"[4, 50.9]"
belgica,"[4, 50.9]"
belgica,"[4, 50.9]"
belgica,"[4, 50.9]"
belgica,"[4.01888157, 50.934802]"
belgica,"[4.02435167, 50.83387882]"
belgica,"[4.026133, 50.839509]"
belgica,"[4.03333333, 50.93333333]"
belgica,"[4.03355359, 50.93868251]"
belgica,"[4.047357, 50.697273]"
belgica,"[4.04968, 51.83272]"
belgica,"[4.05, 51.2833]"
belgica,"[4.05, 51.5]"
belgica,"[4.05, 51.5]"
belgica,"[4.0656174, 50.92958507]"
belgica,"[4.06667, 51.0333]"
belgica,"[4.06683031, 50.52819363]"
belgica,"[4.06690577, 50.52811786]"
belgica,"[4.06700768, 50.52802522]"
belgica,"[4.06701348, 50.52810485]"
belgica,"[4.06701948, 50.52802449]"
belgica,"[4.06704066, 50.52803935]"
belgica,"[4.06707383, 50.52805259]"
belgica,"[4.06707385, 50.52805219]"
belgica,"[4.067519, 50.572763]"
belgica,"[4.06894, 51.143398]"
belgica,"[4.08333, 51]"
belgica,"[4.08333333, 50.86666667]"
belgica,"[4.08333333, 50.88333333]"
belgica,"[4.101427, 51.022781]"
belgica,"[4.137662, 50.605079]"
belgica,"[4.13916667, 51.16444444]"
belgica,"[4.156639, 50.56239]"
belgica,"[4.156639, 50.56239]"
belgica,"[4.15726129, 51.13187384]"
belgica,"[4.16362094, 51.13513514]"
belgica,"[4.16362094, 51.13513514]"
belgica,"[4.16362094, 51.13513514]"
belgica,"[4.180167, 50.870634]"
belgica,"[4.18753249, 50.96763734]"
belgica,"[4.2, 50.68333333]"
belgica,"[4.2, 51.0167]"
belgica,"[4.20715894, 50.86755163]"
belgica,"[4.207985, 50.906488]"
belgica,"[4.211041, 50.430797]"
belgica,"[4.2112299, 50.70671]"
belgica,"[4.22542557, 51.26460178]"
belgica,"[4.227835, 50.960265]"
belgica,"[4.23257, 50.8099]"
belgica,"[4.23257, 50.8099]"
belgica,"[4.24367, 50.7796]"
belgica,"[4.24381138, 51.21412312]"
belgica,"[4.243931, 51.214139]"
belgica,"[4.243931, 51.214139]"
belgica,"[4.25196648, 50.98669327]"
belgica,"[4.26246272, 50.83226014]"
belgica,"[4.26482564, 50.81433238]"
belgica,"[4.2745, 50.87625]"
belgica,"[4.2745, 50.87625]"
belgica,"[4.2745, 50.87625]"
belgica,"[4.2745, 50.87625]"
belgica,"[4.274541, 50.890028]"
belgica,"[4.27653, 51.2533]"
belgica,"[4.27874, 50.84569]"
belgica,"[4.27874, 50.84569]"
belgica,"[4.27874, 50.84569]"
belgica,"[4.2809, 50.8454]"
belgica,"[4.290517, 50.826083]"
belgica,"[4.29176545, 51.58558559]"
belgica,"[4.29467808, 50.7874292]"
belgica,"[4.30157, 50.57062]"
belgica,"[4.30545, 50.79765]"
belgica,"[4.30545, 50.79765]"
belgica,"[4.31083394, 50.85525735]"
belgica,"[4.31131167, 51.17090907]"
belgica,"[4.31667, 50.8]"
belgica,"[4.320943, 50.810195]"
belgica,"[4.32172, 50.86573]"
belgica,"[4.32172, 50.86573]"
belgica,"[4.3243057, 51.06257124]"
belgica,"[4.32444429, 50.87265791]"
belgica,"[4.32466252, 50.8728496]"
belgica,"[4.32898, 50.863645]"
belgica,"[4.3331, 50.8851]"
belgica,"[4.3331, 50.8851]"
belgica,"[4.3331, 50.8851]"
belgica,"[4.3331, 50.8851]"
belgica,"[4.3331, 50.8851]"
belgica,"[4.33333, 51.1167]"
belgica,"[4.33333, 51.1167]"
belgica,"[4.33333, 51.1167]"
belgica,"[4.33625728, 50.83610475]"
belgica,"[4.33628, 50.8849]"
belgica,"[4.33628, 50.8849]"
belgica,"[4.33628, 50.8849]"
belgica,"[4.33628, 50.8849]"
belgica,"[4.336531, 50.835707]"
belgica,"[4.336531, 50.835707]"
belgica,"[4.33665, 51.20855]"
belgica,"[4.33665, 51.20855]"
belgica,"[4.33681, 50.80271]"
belgica,"[4.3368894, 51.1286947]"
belgica,"[4.33718, 50.8407]"
belgica,"[4.33756, 50.80336]"
belgica,"[4.33756, 50.80336]"
belgica,"[4.33788, 50.59543]"
belgica,"[4.33805, 50.85769]"
belgica,"[4.33805, 50.85769]"
belgica,"[4.33818048, 50.86130328]"
