lat,long
 'coordinate,oordinates']
 18.5621912,-72.2504771
 -37.8539248,-58.2517848
 33.5571346,-7.5471875
 33.5571346,-7.5471875
 50.183334,1.483333
 50.183334,1.483333
 49.8941,2.2931
 49.8941,2.2931
 50.99833333,2.36416667
 51.05,2.36667
 51.05,2.36667
 51.05,2.36667
 51.0795902,2.5147236
 51.0833,2.51667
 50.45161566,2.58180305
 50.45161566,2.58180305
 50.45161566,2.58180305
 50.45161566,2.58180305
 51.10393902,2.59246621
 50.8444,2.59414
 50.5,2.63333
 50.5333,2.63333
 50.5333,2.63333
 50.5333,2.63333
 50.5333,2.63333
 51.12003111,2.63392752
 51.11856,2.6347752
 51.11856,2.6347752
 51.07357862,2.66488943
 51.073867,2.66994
 51.13025759,2.67295144
 51.07576779,2.67726153
 51.07576779,2.67726153
 51.12578246,2.67966145
 51.12570565,2.67977155
 51.14897402,2.71581189
 50.04083333,2.72277778
 50.72789876,2.73754835
 51.12944444,2.75138889
 50.2887152,2.7601003
 50.28363478,2.76020134
 51.1608986,2.76855956
 50.2871,2.7812
 50.2833,2.78333
 50.3,2.78333
 51.1791,2.79368
 51.18213008,2.82159007
 50.4333,2.83333
 49.50376,2.84261
 50.4667,2.86667
 51.032723,2.868943
 51.219179,2.88527234
 51.21907401,2.88545489
 51.21840687,2.88560312
 50.85098127,2.88654095
 50.85098127,2.88654095
 51.21755696,2.88852518
 50.95043761,2.89581199
 50.3895808,2.9097454
 50.3895808,2.9097454
 51.2319035,2.91181428
 51.23320258,2.91262389
 51.23047236,2.91516896
 50.69879,2.91531
 51.2167,2.91667
 51.2167,2.91667
 51.2167,2.91667
 51.23363351,2.91704129
 50.3935553,2.9204807
 49.9291,2.93299
 50.4370318,2.9461635
 50.84912173,2.94669617
 50.84813376,2.94984649
 50.64376496,2.96452938
 50.64387081,2.96467732
 50.6438556,2.96472401
 50.64398411,2.96474221
 50.64398247,2.96474258
 50.64383369,2.96482135
 50.8167,2.96667
 50.62886672,2.9674661
 50.7667,2.98333
 50.8667,2.98333
 50.4841255,2.9855278
 50.4844233,2.9860614
 50.4844233,2.9860614
 50.4844233,2.9860614
 50.6455,2.98755278
 50.93146637,3.00633441
 51.15636637,3.01559471
 51.12641872,3.01835614
 50.81497895,3.02094689
 51.1297,3.0275
 51.1297,3.0275
 51.12940597,3.02751935
 51.08133776,3.0309274
 50.62138889,3.03222222
 50.62138889,3.03222222
 50.14,3.03305556
 50.7833,3.03333
 51.2731,3.0336
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.26561111,3.03480556
 51.0294397,3.03807917
 50.77812923,3.04305586
 51.025244,3.043459
 50.66027778,3.04388889
 50.65603102,3.04852857
 50.54577076,3.05005453
 50.638017,3.054596
 50.62925,3.057256
 50.63148786,3.05945009
 50.63148786,3.05945009
 50.63148786,3.05945009
 50.63698355,3.06031823
 50.63156389,3.06076944
 50.65665,3.06078
 50.6384087,3.0626099
 50.63731806,3.06463564
 50.63731806,3.06463564
 50.6368,3.06528
 50.6415414,3.06563616
 50.3667,3.06667
 50.6333,3.06667
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.6281,3.0684
 50.63710402,3.07112183
 50.636108,3.071516
 50.636108,3.071516
 50.63771514,3.07398414
 50.63921791,3.07560216
 50.8103845,3.07593474
 50.78016627,3.07606005
 50.28215016,3.07663474
 50.63348489,3.07698727
 50.63348489,3.07698727
 50.61431076,3.08232943
 50.6667,3.08333
 50.66219,3.08676
 50.6800439,3.0913162
 50.7,3.1
 50.57158142,3.10589641
 51.03222402,3.10850941
 50.9499087,3.1294471
 50.7833,3.13333
 50.70333333,3.14055556
 50.87106493,3.14368766
 50.62277778,3.14416667
 50.83720328,3.15915257
 50.67594296,3.16149831
 50.7304699,3.16501
 50.69849,3.16575
 50.81816182,3.17437677
 50.692705,3.177847
 50.42456829,3.17814719
 50.69380442,3.17852497
 51.19273034,3.17972014
 50.808076,3.179967
 50.808076,3.179967
 50.80814931,3.18012339
 50.80814931,3.18012339
 50.80814931,3.18012339
 50.80814931,3.18012339
 50.808122,3.180168
 51.19721698,3.18073642
 50.80862,3.18151
 51.3,3.18333
 50.17466763,3.19354211
 50.17466763,3.19354211
 51.20399437,3.19368269
 51.15548942,3.19588161
 51.15548942,3.19588161
 51.15548942,3.19588161
 50.97332096,3.19960285
 51.23219936,3.20240114
 51.23217497,3.2024555
 50.84396292,3.20457302
 50.912756,3.205464
